CONTEXTIDR_EL2		S3_4_c13_c0_1
TPIDR_EL2			S3_4_c13_c0_2
SCXTNUM_EL2			S3_4_c13_c0_7
AMEVCNTVOFF00_EL2	S3_4_c13_c8_0
AMEVCNTVOFF01_EL2	S3_4_c13_c8_1
AMEVCNTVOFF02_EL2	S3_4_c13_c8_2
AMEVCNTVOFF03_EL2	S3_4_c13_c8_3
AMEVCNTVOFF04_EL2	S3_4_c13_c8_4
AMEVCNTVOFF05_EL2	S3_4_c13_c8_5
AMEVCNTVOFF06_EL2	S3_4_c13_c8_6
AMEVCNTVOFF07_EL2	S3_4_c13_c8_7
AMEVCNTVOFF08_EL2	S3_4_c13_c9_0
AMEVCNTVOFF09_EL2	S3_4_c13_c9_1
AMEVCNTVOFF010_EL2	S3_4_c13_c9_2
AMEVCNTVOFF011_EL2	S3_4_c13_c9_3
AMEVCNTVOFF012_EL2	S3_4_c13_c9_4
AMEVCNTVOFF013_EL2	S3_4_c13_c9_5
AMEVCNTVOFF014_EL2	S3_4_c13_c9_6
AMEVCNTVOFF015_EL2	S3_4_c13_c9_7
AMEVCNTVOFF10_EL2	S3_4_c13_c10_0
AMEVCNTVOFF11_EL2	S3_4_c13_c10_1
AMEVCNTVOFF12_EL2	S3_4_c13_c10_2
AMEVCNTVOFF13_EL2	S3_4_c13_c10_3
AMEVCNTVOFF14_EL2	S3_4_c13_c10_4
AMEVCNTVOFF15_EL2	S3_4_c13_c10_5
AMEVCNTVOFF16_EL2	S3_4_c13_c10_6
AMEVCNTVOFF17_EL2	S3_4_c13_c10_7
AMEVCNTVOFF18_EL2	S3_4_c13_c11_0
